country,year,metier,fleet,effort
SP,2014,DEF_100_0_0,SP_GNS,2505
SP,2015,DEF_100_0_0,SP_GNS,2537
SP,2016,DEF_100_0_0,SP_GNS,2627
SP,2017,DEF_100_0_0,SP_GNS,2411
PT,2014,DEF_0_0_0,PT_GNS,2380
PT,2015,DEF_0_0_0,PT_GNS,2270
PT,2016,DEF_0_0_0,PT_GNS,2228
PT,2017,DEF_0_0_0,PT_GNS,1913
SP,2014,DEF_60_79_0_0,SP_GNS,26613
SP,2015,DEF_60_79_0_0,SP_GNS,21367
SP,2016,DEF_60_79_0_0,SP_GNS,26882
SP,2017,DEF_60_79_0_0,SP_GNS,22629
SP,2014,DEF_80_99_0_0,SP_GNS,6778
SP,2015,DEF_80_99_0_0,SP_GNS,5863
SP,2016,DEF_80_99_0_0,SP_GNS,5570
SP,2017,DEF_80_99_0_0,SP_GNS,5181
PT,2014,DEF_0_0_0,PT_GTR,2110
PT,2015,DEF_0_0_0,PT_GTR,1649
PT,2016,DEF_0_0_0,PT_GTR,1282
PT,2017,DEF_0_0_0,PT_GTR,3199
SP,2014,DEF_60_79_0_0,SP_GTR,41975
SP,2015,DEF_60_79_0_0,SP_GTR,54543
SP,2016,DEF_60_79_0_0,SP_GTR,48665
SP,2017,DEF_60_79_0_0,SP_GTR,44231
SP,2014,DEF_0_0_0,SP_LLS,38086
SP,2015,DEF_0_0_0,SP_LLS,36107
SP,2016,DEF_0_0_0,SP_LLS,34477
SP,2017,DEF_0_0_0,SP_LLS,28326
PT,2014,MIS_0_0_0_HC,PT_MIS,25563
SP,2014,MIS_0_0_0_HC,SP_MIS,29
PT,2015,MIS_0_0_0_HC,PT_MIS,24633
SP,2015,MIS_0_0_0_HC,SP_MIS,1
PT,2016,MIS_0_0_0_HC,PT_MIS,24206
PT,2017,MIS_0_0_0_HC,PT_MIS,9501
PT,2014,CRU_55_0_0,PT_OTB,1313
PT,2015,CRU_55_0_0,PT_OTB,1269
PT,2016,CRU_55_0_0,PT_OTB,1416
PT,2017,CRU_55_0_0,PT_OTB,2736
PT,2014,DEF_65_0_0,PT_OTB,5594
SP,2014,DEF_65_0_0,SP_OTB,10266
PT,2015,DEF_65_0_0,PT_OTB,5992
SP,2015,DEF_65_0_0,SP_OTB,8690
PT,2016,DEF_65_0_0,PT_OTB,6158
SP,2016,DEF_65_0_0,SP_OTB,8358
PT,2017,DEF_65_0_0,PT_OTB,6371
SP,2017,DEF_65_0_0,SP_OTB,9194
SP,2014,MPD_55_0_0,SP_OTB,3705
SP,2015,MPD_55_0_0,SP_OTB,3579
SP,2016,MPD_55_0_0,SP_OTB,3503
SP,2017,MPD_55_0_0,SP_OTB,4441
SP,2014,MCD_55_0_0,SP_OTB_24m,23315
SP,2015,MCD_55_0_0,SP_OTB_24m,23340
SP,2016,MCD_55_0_0,SP_OTB_24m,23882
SP,2017,MCD_55_0_0,SP_OTB_24m,23350
OTH,2014,OTH,OTH_OTH,1
OTH,2015,OTH,OTH_OTH,1
OTH,2016,OTH,OTH_OTH,1
OTH,2017,OTH,OTH_OTH,1
SP,2014,MPD_55_0_0,SP_PTB,6356
SP,2015,MPD_55_0_0,SP_PTB,7453
SP,2016,MPD_55_0_0,SP_PTB,7020
SP,2017,MPD_55_0_0,SP_PTB,6129
SP,2016,MIS_0_0_0_HC,SP_MIS,NA
SP,2017,MIS_0_0_0_HC,SP_MIS,NA
